from_node,to_node,length_m,elevation_change,elevation_gain
443306874,443306873,12.30141723594238,0.0,0.0
443306874,7369034015,15.275801971012712,0.10000000000000142,0.10000000000000142
443306874,7369034014,9.72461124692274,0.10000000000000142,0.10000000000000142
443306880,443306874,13.116055540603481,0.0,0.0
443306880,443306873,9.751791978203535,0.0,0.0
443306880,7369034016,10.092413516471597,0.10000000000000142,0.10000000000000142
443306880,7369034018,11.524996826320267,-0.09999999999999787,0.0
443306889,2187246907,38.003616540046245,0.7000000000000028,0.7000000000000028
443306889,2187246782,40.6585923300631,1.2000000000000028,1.2000000000000028
443306889,2187246718,73.76705726795234,-4.399999999999999,0.0
443306889,2187246941,58.262228141080875,3.5,3.5
443306892,13076852505,6.69503172506065,0.10000000000000142,0.10000000000000142
443306892,13076848009,7.856959038341107,-0.29999999999999716,0.0
443306892,13076848008,6.284904873329748,0.20000000000000284,0.20000000000000284
443306892,13076848007,5.405097313231338,0.0,0.0
461629162,2636411768,8.959155206490028,0.09999999999999432,0.09999999999999432
461629162,308022101,9.734630255330174,-0.30000000000000426,0.0
461629162,461629482,10.044884803668845,-0.20000000000000284,0.0
461629162,2636411770,9.670266553099525,0.19999999999999574,0.19999999999999574
461629163,461629482,8.23283992455452,0.29999999999999716,0.29999999999999716
461629163,1704222981,10.181751917616022,-0.20000000000000284,0.0
461629163,10735004295,7.4194724703635195,0.29999999999999716,0.29999999999999716
461629163,7368658471,125.05454436028865,-4.600000000000001,0.0
461629164,308022083,8.85896307625577,-0.09999999999999432,0.0
461629164,7368658462,4.637441663092062,-0.19999999999999574,0.0
461629164,7368658471,8.494667868095824,0.30000000000000426,0.30000000000000426
461629181,7366852211,9.698008483920512,-0.20000000000000284,0.0
461629181,461629182,10.804095502369663,0.0,0.0
461629181,7366852213,9.335306565035872,0.19999999999999574,0.19999999999999574
461629181,308022850,9.674769559898989,-0.30000000000000426,0.0
461629182,7366852212,9.001363249181527,0.19999999999999574,0.19999999999999574
461629182,308022851,9.539646899325923,-0.20000000000000284,0.0
461629182,461629181,10.804095502369663,0.0,0.0
461629311,2139661953,30.649796909973922,-1.1999999999999957,0.0
461629311,6437963396,34.07501367424818,0.7000000000000028,0.7000000000000028
461629311,461629321,105.8624653343771,6.5,6.5
461629319,2139661954,49.375786568241445,-1.8999999999999986,0.0
461629319,461629321,56.78674782015836,3.8999999999999986,3.8999999999999986
461629319,6437963399,35.56867698637001,-3.200000000000003,0.0
461629321,1303243391,25.66160140782953,1.1000000000000014,1.1000000000000014
461629321,461629311,105.8624653343771,-6.5,0.0
461629321,461629319,56.78674782015836,-3.8999999999999986,0.0
461629482,461629162,10.044884803668845,0.20000000000000284,0.20000000000000284
461629482,461629483,10.050522494823056,-0.3999999999999986,0.0
461629482,2636411766,9.58727608384714,0.20000000000000284,0.20000000000000284
461629482,461629163,8.23283992455452,-0.29999999999999716,0.0
461629483,1704222981,7.857986121511546,-0.10000000000000142,0.0
461629483,461629482,10.050522494823056,0.3999999999999986,0.3999999999999986
461629483,308022101,9.85431807102739,0.29999999999999716,0.29999999999999716
461629489,10721114738,11.467234562929232,-0.20000000000000284,0.0
461629489,461630327,9.318790828403218,0.0,0.0
461629489,461629490,12.36448482636157,0.0,0.0
461629489,10721114737,10.008067199906106,0.0,0.0
461629490,10721114735,11.361699784885209,-0.20000000000000284,0.0
461629490,461629489,12.36448482636157,0.0,0.0
461629490,461630329,9.214255586513685,0.0,0.0
461629490,10721114736,9.77357254163612,0.0,0.0
461629493,461629494,11.640762486509628,0.0,0.0
461629493,10721102917,11.870864368039197,-0.19999999999999574,0.0
461629493,461630334,10.072415146647844,0.0,0.0
461629493,10721102916,9.447122075145332,0.0,0.0
461629494,10721102922,11.746173292876433,-0.19999999999999574,0.0
461629494,461629493,11.640762486509628,0.0,0.0
461629494,461630335,9.215818379817977,0.0,0.0
461629494,10721102915,9.887934680942935,0.0,0.0
461629500,6407306885,136.03755268548034,-3.8000000000000007,0.0
461629500,461630341,9.974757577422306,0.3000000000000007,0.3000000000000007
461629500,739474131,179.623635708578,4.300000000000001,4.300000000000001
461630321,6437962853,69.6555556782998,0.6999999999999957,0.6999999999999957
461630321,2587513205,44.340398930246444,1.0,1.0
461630321,6447935513,109.4427854879696,-2.8000000000000043,0.0
461630327,461629489,9.318790828403218,0.0,0.0
461630327,10721114740,9.119298247027839,0.0,0.0
461630327,10721114739,11.727574221059863,-0.10000000000000142,0.0
461630327,461630329,12.51026919735809,0.0,0.0
461630329,10721114734,11.878790269997882,-0.20000000000000284,0.0
461630329,10721114741,9.728729267757,0.0,0.0
461630329,461630327,12.51026919735809,0.0,0.0
461630329,461629490,9.214255586513685,0.0,0.0
461630334,10721102918,12.148662799086988,-0.09999999999999432,0.0
461630334,461629493,10.072415146647844,0.0,0.0
461630334,10721102919,8.835216485714387,0.10000000000000142,0.10000000000000142
461630334,461630335,12.241548418428408,0.0,0.0
461630335,10721102920,9.114877627241396,0.10000000000000142,0.10000000000000142
461630335,10721102921,10.800740684950467,-0.19999999999999574,0.0
461630335,461630334,12.241548418428408,0.0,0.0
